ID карты;Дата выдачи;Канал оформления;Тарифный план;Регион;Кредитный лимит;Дата первой покупки;Оборот за 30 дней;Оборот за 90 дней;Статус
CARD-101907;16.06.2025;МП;Зарплатный;Приволжский;150 000;12.07.2025;49664.88;168 165;Активна
CARD-100465;27.04.2025;Сайт банка;Классический;Южный;150 000;13.05.2025;51065.29;126178.16;Активна
CARD-101943;15.04.2025;Веб-сайт;Кэшбэк-максимум;Приволжский;200 000;2025-04-23;99979,39;228328.07;Активна
CARD-101836;04.06.2025;Мобильное приложение;Классический;Сибирский;500000.00;07.06.2025;128852,65;341 190;Активна
CARD-101376;18.04.2025;Сайт банка;Премиальный;Южный;50000.00;29.04.2025;25808,29;51541,46;Активна
CARD-100107;07.03.2025;сайт банка;Кэшбэк-максимум;Северо-Западный;75 000;19.06.2025;0,00;11 822;Активна
CARD-101421;19.06.2025;Отделение ;Зарплатный;Южный;50000,00;н/д;0;;Активна
CARD-100607;30.04.2025;Отделение ;Зарплатный;Приволжский;300000,00;30.04.2025;61193.00;141081,67;Активна
CARD-102365;2025-05-10;ОТДЕЛЕНИЕ;Зарплатный;Центральный;150 000;;0,00;0;Активна
CARD-101976;08.07.2025;мобильное приложение;Классический;Приволжский;150000,00;13.07.2025;20 083;53102.79;Активна
CARD-101699;30.03.2025;Мобильное приложение;Классический;Южный;100 000;;;0,00;Активна
CARD-100980;15.03.2025;Партнёрская сеть;Зарплатный;Центральный;75000.00;2025-03-20;28 712;53 236;Активна
CARD-102151;09.05.2025;Отделение ;Классический;Северо-Западный;100000,00;;;0,00;Активна
CARD-101460;06.04.2025;Партнерская сеть;Зарплатный;Центральный;200 000;2025-04-25;94 208;212 151;Активна
CARD-101775;02.06.2025;Отделение;Премиальный;Южный;500 000;2025-06-15;240 627;497 031;Закрыта
CARD-102378;2025-01-23;Партнерская сеть;Зарплатный;Северо-Западный;150 000;24.01.2025;32 336;83601,09;Активна
CARD-101986;2025-05-21;Партнерская сеть;Премиальный;Сибирский;300000,00;29.05.2025;34251.37;107378,75;Активна
CARD-101301;2025-07-19;Офис банка;Зарплатный;Сибирский;50000,00;;0;0;Активна
CARD-101240;23.05.2025;мобильное приложение;Зарплатный;Центральный;100 000;01.06.2025;18408,73;48 395;Активна
CARD-101258;12.07.2025;Мобильный банк;Премиальный;Приволжский;100 000;03.08.2025;26039,37;64 568;Активна
CARD-101499;20.07.2025;Офис банка;Премиальный;Приволжский;100000.00;02.08.2025;45 384;128200.44;Активна
CARD-100454;2025-02-04;отделение;Зарплатный;Приволжский;150000.00;28.02.2025;73236,08;150 254;Активна
CARD-101727;26.03.2025;МП;Зарплатный;Сибирский;500000.00;19.04.2025;147 435;396 028;Активна
CARD-100480;2025-03-17;сайт банка;Классический;Центральный;50 000;13.04.2025;21 773;49501.17;Активна
CARD-100197;17.05.2025;МП;Классический;Центральный;50000.00;2025-06-10;26862,49;63834,67;Активна
CARD-100187;19.03.2025;Отделение ;Классический;Северо-Западный;100 000;17.04.2025;27 642;93000.06;Активна
CARD-101793;20.05.2025;ОТДЕЛЕНИЕ;Классический;Центральный;100000,00;н/д;0,00;0;Активна
CARD-101467;13.05.2025;МП;Кэшбэк-максимум;Сибирский;75000,00;04.06.2025;6 782;11 847;Активна
CARD-100353;22.06.2025;Офис банка;Классический;Южный;200000,00;23.06.2025;24 318;53558,67;Активна
CARD-100897;03.06.2025;Отделение ;Зарплатный;Северо-Западный;500000,00;2025-06-07;104 449;247 692;Активна
CARD-101469;08.07.2025;ОТДЕЛЕНИЕ;Зарплатный;Приволжский;100 000;;0,00;0,00;Активна
CARD-101746;14.02.2025;Офис банка;Зарплатный;Центральный;100000.00;2025-03-08;36 322;95 383;активна
CARD-102206;27.04.2025;мобильное приложение;Премиальный;Приволжский;300000.00;27.04.2025;160002.65;538308,84;Закрыта
CARD-101472;29.05.2025;Офис банка;Классический;Центральный;100000,00;;;;Активна
CARD-100675;11.06.2025;Мобильный банк;Премиальный;Северо-Западный;200000.00;2025-06-23;84369.70;236 911;Активна
CARD-101799;11.04.2025;Партнёр;Классический;Южный;75000,00;;0;0,00;Закрыта
CARD-102106;19.02.2025;Веб-сайт;Классический;Сибирский;50000,00;24.02.2025;13 922;37 429;активна
CARD-100589;26.02.2025;Мобильный банк;Классический;Центральный;200000,00;09.03.2025;47904,28;96903,29;Активна
CARD-100255;23.06.2025;Отделение ;Классический;Южный;300 000;27.06.2025;99 481;256 072;Заблокирована
CARD-101363;06.04.2025;Отделение;Классический;Северо-Западный;200000,00;;;0,00;Активна
CARD-100603;25.05.2025;отделение;Зарплатный;Центральный;100000,00;;0;0;Активна
CARD-100978;18.01.2025;мобильное приложение;Зарплатный;Северо-Западный;50000,00;н/д;0;0,00;активна
CARD-101510;19.03.2025;Мобильное приложение;Классический;Центральный;100000.00;;0;0;Активна
CARD-101868;23.03.2025;сайт банка;Премиальный;Сибирский;200000,00;н/д;0;0,00;Активна
CARD-101061;11.06.2025;Партнерская сеть;Классический;Южный;75 000;н/д;0;0;Активна
CARD-100554;07.07.2025;МП;Классический;Центральный;50000.00;2025-07-20;14863,39;29637.75;Активна
CARD-102302;07.02.2025;Веб-сайт;Кэшбэк-максимум;Южный;75000,00;2025-02-11;26149,06;62 785;Активна
CARD-101576;2025-04-21;Мобильное приложение;Кэшбэк-максимум;Северо-Западный;200 000;н/д;0,00;0,00;Заблокирована
CARD-100127;25.07.2025;ОТДЕЛЕНИЕ;Зарплатный;Приволжский;500000,00;2025-08-01;216953.87;388 383;Активна
CARD-100246;2025-04-20;партнёрская сеть;Классический;Сибирский;500 000;н/д;0;;Активна
CARD-100161;2025-03-23;Партнёр;Классический;Приволжский;500 000;2025-04-12;154 591;374252,64;Активна
CARD-101766;28.03.2025;Мобильное приложение;Классический;Сибирский;100000.00;23.07.2025;0;3 489;активна
