id_клиента;возраст;доход_тыс_руб;средний_остаток_тыс_руб;операций_в_месяц;доля_цифровых_операций
102923;55;253;1728;40;0,89
101464;54;199;2710;14;0,26
100678;27;107;207;59;0,87
102441;56;160;229;25;0,81
102392;52;182;1701;39;0,92
102581;53;208;1867;37;0,94
101684;56;177;2779;17;0,24
101988;49;152;2711;16;0,17
100650;30;75;6;42;0,81
101146;24;89;122;71;0,90
102193;55;208;1944;44;0,90
102869;55;246;1098;61;0,89
100653;30;119;58;40;0,83
100079;29;93;227;38;0,86
101781;53;274;2479;25;0,32
100776;31;92;153;41;0,78
100263;35;106;86;74;0,92
101443;49;259;403;11;0,12
100764;34;64;205;52;0,93
102791;52;152;2391;42;0,89
101968;50;287;1567;14;0,03
100999;33;124;71;35;0,76
101771;62;244;1428;16;0,33
102813;42;216;1392;37;0,90
101756;61;212;2336;18;0,12
101042;26;94;93;54;0,88
102205;57;291;1529;35;0,90
101164;31;132;74;37;0,75
100735;30;90;57;39;0,78
101647;54;219;1641;7;0,09
102079;42;263;1592;32;0,84
102200;39;268;1587;22;0,79
101302;65;180;2093;9;0,40
102275;58;209;857;15;0,92
101463;61;285;2190;15;0,20
101619;51;165;2938;15;0,20
102279;51;220;1768;46;0,99
100095;30;83;99;59;0,91
100267;25;81;89;31;0,82
100039;32;110;156;68;0,99
100123;28;106;86;50;0,85
100854;31;110;185;36;0,82
102341;46;192;380;38;0,88
101092;33;131;107;49;0,90
100856;25;84;142;72;0,84
102336;55;249;1859;27;0,86
102098;52;197;1211;45;0,82
102208;53;229;1916;31;0,84
102220;48;175;1325;23;0,91
101439;47;210;1401;24;0,12
100811;24;96;154;41;0,83
100572;30;134;109;49;0,90
100896;32;94;216;42;0,82
101118;27;94;98;62;0,89
102395;49;190;1241;58;0,87
102829;47;306;1655;41;0,92
102116;49;194;1366;46;0,82
100672;34;100;7;85;0,87
102064;51;184;1344;38;0,84
101767;58;255;2436;20;0,35
101685;58;244;1666;11;0,23
100612;30;93;148;50;0,79
100610;29;85;194;78;0,80
101960;49;227;1554;11;0,37
101843;64;216;1187;22;0,18
100009;26;111;82;48;0,78
101668;55;183;1626;8;0,17
100376;21;119;199;56;0,79
101923;49;163;2016;13;0,30
101066;32;108;105;48;0,95
100177;33;91;95;34;0,72
101320;68;232;2563;15;0,23
100674;31;95;156;48;0,88
102960;59;217;1467;44;0,81
100424;22;99;105;41;0,92
100440;29;94;92;53;0,89
100516;25;82;106;47;0,77
100436;28;86;92;52;0,72
102410;49;274;1278;38;0,85
100761;28;123;129;51;0,89
100420;29;118;177;34;0,94
102124;58;226;2204;40;0,99
101421;58;175;2050;17;0,23
101546;59;199;1432;14;0,32
102887;57;239;1557;52;0,79
