application_id,client_id,product,channel,region,amount_requested,submitted_at,source_system,is_test
APP-201436,CL-431781,Кредит для бизнеса,Партнёрская сеть,Центральный,1200000,2025-07-16 17:41:00,CRM,false
APP-200897,CL-433355,Кредит для бизнеса,Корпоративный менеджер,Центральный,300000,2025-06-14 19:10:00,CRM,false
APP-200353,CL-418526,Автокредит,Партнёрская сеть,Центральный,800000,2025-04-04 11:29:00,АБС,false
APP-201494,CL-446788,Кредит наличными,Отделение,Южный,5000000,2025-06-17 08:24:00,CRM,false
APP-202996,CL-TEST,Кредит для бизнеса,Корпоративный менеджер,Приволжский,800000,2025-03-30 09:55:00,АБС,true
APP-202187,CL-447308,Кредит для бизнеса,Отделение,Приволжский,150000,2025-06-22 16:27:00,АБС,false
APP-201492,CL-427247,Автокредит,Отделение,Северо-Западный,5000000,2025-01-09 16:30:00,АБС,false
APP-200296,CL-454297,Кредитная карта,Корпоративный менеджер,Центральный,1200000,2025-07-31 13:08:00,CRM,false
APP-200759,CL-435836,Кредит наличными,Партнёрская сеть,Северо-Западный,150000,2025-02-10 11:34:00,CRM,false
APP-203353,CL-426975,Кредитная карта,Отделение,Приволжский,1200000,2025-04-05 10:05:00,АБС,false
APP-201290,CL-407562,Кредит наличными,Корпоративный менеджер,Центральный,150000,2025-02-24 08:11:00,АБС,false
APP-202691,CL-405923,Автокредит,Отделение,Южный,5000000,2025-05-23 15:35:00,АБС,false
APP-202220,CL-450436,Кредит для бизнеса,Партнёрская сеть,Северо-Западный,800000,2025-07-05 14:44:00,CRM,false
APP-200054,CL-400383,Кредит наличными,Партнёрская сеть,Центральный,300000,2025-02-15 11:44:00,CRM,false
APP-200464,CL-451211,Автокредит,Мобильное приложение,Центральный,800000,2025-07-08 18:20:00,АБС,false
APP-202010,CL-421452,Кредит для бизнеса,Партнёрская сеть,Южный,5000000,2025-07-21 10:46:00,АБС,false
APP-201953,CL-403898,Кредит наличными,Партнёрская сеть,Южный,5000000,2025-06-21 08:54:00,АБС,false
APP-200441,CL-452106,Кредит наличными,Корпоративный менеджер,Центральный,300000,2025-02-11 19:41:00,CRM,false
APP-200569,CL-406388,Автокредит,Отделение,Центральный,150000,2025-04-13 10:34:00,АБС,false
APP-203291,CL-434634,Кредитная карта,Отделение,Центральный,800000,2025-07-11 08:37:00,АБС,false
APP-201903,CL-441005,Кредитная карта,Отделение,Приволжский,2500000,2025-01-21 18:01:00,АБС,false
