application_id,decision,decided_at,reason
APP-200000,Одобрено,2025-05-19 19:47:58,Одобрено
APP-200001,Одобрено,2025-07-28 16:16:01,Одобрено
APP-200002,Отказ,2025-02-14 22:15:55,Скоринговый балл ниже порога
APP-200003,Отказ,2025-02-05 03:13:22,Высокая долговая нагрузка
APP-200004,Отказ,2025-07-10 19:19:33,Высокая долговая нагрузка
APP-200005,Одобрено,2025-02-27 04:13:42,Одобрено
APP-200006,Отказ,2025-07-01 01:47:34,Скоринговый балл ниже порога
APP-200007,Отказ,2025-01-24 17:17:56,Скоринговый балл ниже порога
APP-200008,Одобрено,2025-05-09 10:02:04,Одобрено
APP-200009,Одобрено,2025-05-31 16:41:02,Одобрено
APP-200010,Одобрено,2025-01-16 07:45:45,Одобрено
APP-200011,Отказ,2025-03-16 01:29:56,Скоринговый балл ниже порога
APP-200012,Одобрено,2025-03-12 05:17:14,Одобрено
APP-200013,Отказ,2025-07-23 15:31:59,Скоринговый балл ниже порога
APP-200014,Одобрено,2025-02-28 07:22:58,Одобрено
APP-200015,Одобрено,2025-01-10 14:28:55,Одобрено
APP-200016,Отказ,2025-05-16 12:10:38,Клиент не явился за средствами
APP-200017,Отказ,2025-03-28 19:22:14,Скоринговый балл ниже порога
APP-200018,Одобрено,2025-04-12 20:36:47,Одобрено
APP-200019,Одобрено,2025-03-23 22:39:33,Одобрено
APP-200020,Одобрено,2025-02-05 22:32:40,Одобрено
APP-200021,Отказ,2025-07-27 15:53:30,Скоринговый балл ниже порога
APP-200022,Одобрено,2025-01-14 00:00:09,Одобрено
APP-200023,Отказ,2025-07-21 16:14:44,Высокая долговая нагрузка
APP-200024,Отказ,2025-05-03 23:55:07,Скоринговый балл ниже порога
APP-200025,Отказ,2025-02-01 12:45:38,Клиент отозвал заявку
APP-200026,Отказ,2025-06-08 10:26:17,Высокая долговая нагрузка
APP-200027,Отказ,2025-06-11 21:00:50,Клиент не явился за средствами
APP-200028,Отказ,2025-06-24 17:46:30,Скоринговый балл ниже порога
APP-200029,Одобрено,2025-04-17 11:06:01,Одобрено
APP-200030,Отказ,2025-06-30 04:26:31,Высокая долговая нагрузка
APP-200031,Одобрено,2025-06-13 08:18:18,Одобрено
APP-200032,Одобрено,2025-06-01 05:46:46,Одобрено
APP-200033,Отказ,2025-05-10 04:30:17,Высокая долговая нагрузка
APP-200034,Отказ,2025-02-19 09:44:50,Клиент отозвал заявку
APP-200035,Одобрено,2025-06-29 16:46:46,Одобрено
APP-200036,Отказ,2025-07-22 03:20:58,Высокая долговая нагрузка
APP-200037,Отказ,2025-01-22 14:51:15,Клиент отозвал заявку
APP-200038,Одобрено,2025-03-20 01:09:34,Одобрено
APP-200039,Одобрено,2025-06-28 22:11:45,Одобрено
APP-200040,Одобрено,2025-03-02 06:14:13,Одобрено
APP-200042,Отказ,2025-07-01 12:06:39,Скоринговый балл ниже порога
APP-200043,Отказ,2025-01-14 15:11:48,Скоринговый балл ниже порога
APP-200044,Одобрено,2025-05-26 03:52:40,Одобрено
APP-200045,Отказ,2025-01-27 12:45:04,Скоринговый балл ниже порога
APP-200046,Отказ,2025-02-05 18:21:29,Клиент не явился за средствами
APP-200047,Отказ,2025-07-02 21:14:31,Скоринговый балл ниже порога
APP-200048,Одобрено,2025-01-10 18:53:50,Одобрено
APP-200049,Отказ,2025-05-06 22:25:19,Клиент отозвал заявку
APP-200050,Отказ,2025-07-23 00:11:14,Скоринговый балл ниже порога
APP-200051,Одобрено,2025-08-04 18:15:55,Одобрено
APP-200052,Отказ,2025-04-28 16:04:37,Скоринговый балл ниже порога
APP-200053,Отказ,2025-06-26 06:53:08,Клиент отозвал заявку
APP-200054,Одобрено,2025-02-21 11:15:01,Одобрено
APP-200055,Одобрено,2025-06-18 11:44:39,Одобрено
APP-200056,Отказ,2025-04-07 01:00:09,Скоринговый балл ниже порога
APP-200057,Отказ,2025-06-02 15:48:00,Клиент не явился за средствами
APP-200058,Одобрено,2025-06-19 21:16:53,Одобрено
APP-200059,Одобрено,2025-03-24 08:37:28,Одобрено
APP-200060,Отказ,2025-06-11 15:08:52,Высокая долговая нагрузка
APP-200061,Отказ,2025-08-01 23:43:09,Высокая долговая нагрузка
APP-200062,Одобрено,2025-03-13 01:30:12,Одобрено
APP-200063,Одобрено,2025-08-01 11:53:13,Одобрено
APP-200064,Одобрено,2025-01-25 02:53:57,Одобрено
APP-200065,Одобрено,2025-01-16 17:52:23,Одобрено
APP-200066,Одобрено,2025-07-12 13:24:13,Одобрено
