application_id,disbursed_at,amount_disbursed
APP-200000,2025-05-20 11:28:00,120000
APP-200001,2025-07-29 15:12:30,480000
APP-200005,2025-02-28 03:17:46,90000
APP-200008,2025-05-10 07:29:54,800000
APP-200009,2025-06-01 12:35:10,1200000
APP-200010,2025-01-17 00:23:07,2000000
APP-200012,2025-03-12 10:09:47,500000
APP-200014,2025-03-01 08:00:09,90000
APP-200015,2025-01-10 18:58:24,300000
APP-200018,2025-04-12 21:47:01,2000000
APP-200019,2025-03-24 10:47:43,500000
APP-200020,2025-02-06 22:10:57,640000
APP-200022,2025-01-14 00:58:07,2500000
APP-200029,2025-04-18 09:55:46,1200000
APP-200031,2025-06-13 23:29:33,500000
APP-200032,2025-06-02 06:10:03,800000
APP-200035,2025-06-30 02:43:38,4000000
APP-200038,2025-03-20 16:05:06,500000
APP-200039,2025-06-30 03:14:49,1500000
APP-200040,2025-03-02 09:15:35,1500000
APP-200044,2025-05-27 09:23:02,120000
APP-200048,2025-01-10 22:09:05,640000
APP-200051,2025-08-05 03:22:33,300000
APP-200054,2025-02-21 13:04:00,300000
APP-200055,2025-06-18 22:29:25,1500000
APP-200058,2025-06-20 06:56:26,720000
APP-200059,2025-03-25 04:38:34,500000
APP-200062,2025-03-13 23:01:22,5000000
APP-200063,2025-08-02 10:44:01,150000
APP-200064,2025-01-26 06:07:55,2000000
APP-200065,2025-01-17 08:08:43,90000
APP-200066,2025-07-13 08:58:55,1200000
APP-200068,2025-02-13 19:42:10,480000
APP-200069,2025-03-03 09:41:20,2500000
APP-200071,2025-03-19 11:05:06,240000
APP-200072,2025-04-09 15:43:27,150000
APP-200073,2025-05-01 18:50:42,150000
APP-200075,2025-03-14 02:57:39,1200000
APP-200076,2025-05-16 15:42:28,500000
APP-200077,2025-03-25 05:47:15,4000000
APP-200080,2025-02-08 22:32:50,400000
APP-200082,2025-05-31 10:21:42,800000
APP-200083,2025-03-17 07:14:37,2500000
APP-200087,2025-07-28 00:54:01,3000000
APP-200088,2025-07-03 07:35:03,960000
APP-200089,2025-06-25 16:19:27,2000000
APP-200090,2025-06-04 08:30:00,5000000
APP-200093,2025-05-23 11:52:02,90000
APP-200095,2025-01-16 21:46:49,4000000
APP-200096,2025-05-03 11:14:41,2500000
APP-200097,2025-04-14 06:51:55,500000
APP-200098,2025-01-12 18:53:38,2500000
APP-200099,2025-01-21 10:38:03,960000
APP-200100,2025-05-07 13:17:54,240000
APP-200101,2025-05-11 21:07:59,150000
APP-200103,2025-04-18 16:52:44,2500000
APP-200104,2025-05-04 10:30:38,800000
APP-200105,2025-06-16 21:47:00,300000
APP-200106,2025-04-05 17:56:01,1200000
APP-200109,2025-05-22 15:56:38,150000
APP-200113,2025-05-24 06:51:38,300000
APP-200115,2025-06-20 12:53:33,400000
APP-200118,2025-04-26 15:20:44,150000
APP-200123,2025-03-13 07:22:05,1500000
APP-200124,2025-07-19 04:42:38,800000
APP-200125,2025-04-30 10:18:13,150000
APP-200127,2025-03-14 03:10:30,2000000
APP-200131,2025-02-17 14:12:51,720000
APP-200132,2025-02-25 02:53:05,240000
APP-200133,2025-03-07 07:30:50,2500000
APP-200135,2025-03-03 16:38:18,2500000
APP-200137,2025-04-08 14:59:43,500000
APP-200139,2025-06-04 15:16:36,800000
APP-200141,2025-05-17 03:38:01,500000
APP-200143,2025-04-15 05:50:20,5000000
APP-200145,2025-06-02 01:52:28,5000000
APP-200146,2025-05-02 22:56:05,1200000
APP-200147,2025-01-17 11:34:20,300000
APP-200148,2025-02-01 09:17:06,960000
APP-200151,2025-07-04 20:49:23,300000
APP-200152,2025-07-23 05:11:25,240000
APP-200156,2025-01-25 20:27:02,400000
APP-200158,2025-01-30 18:41:01,500000
APP-200161,2025-03-13 06:58:58,2500000
APP-200162,2025-02-23 06:47:04,480000
APP-200165,2025-02-06 23:14:04,2500000
APP-200167,2025-07-11 15:14:03,240000
APP-200176,2025-02-16 01:14:57,1200000
APP-200177,2025-01-19 02:34:58,4000000
APP-200178,2025-03-16 09:00:31,120000
APP-200179,2025-04-05 06:23:21,400000
APP-200180,2025-04-02 01:25:59,150000
APP-200181,2025-06-29 00:35:47,300000
APP-200182,2025-06-09 06:22:19,300000
APP-200183,2025-05-15 01:52:16,300000
APP-200188,2025-04-16 20:05:59,5000000
APP-200189,2025-02-25 15:47:47,150000
APP-200192,2025-07-12 16:07:35,960000
APP-200195,2025-06-01 17:21:36,800000
APP-200196,2025-02-04 15:36:01,3000000
APP-200197,2025-06-18 22:35:47,5000000
APP-200199,2025-02-19 20:32:23,500000
APP-200202,2025-03-28 11:43:53,150000
APP-200204,2025-08-04 19:44:54,4000000
APP-200208,2025-06-17 05:50:37,1200000
APP-200210,2025-04-25 15:20:03,150000
APP-200211,2025-06-13 09:48:59,800000
APP-200215,2025-01-11 11:12:26,400000
APP-200216,2025-06-17 23:55:54,1200000
APP-200219,2025-03-01 06:19:18,300000
APP-200222,2025-05-10 14:54:57,2000000
APP-200223,2025-07-05 11:50:18,4000000
APP-200224,2025-01-22 10:09:03,1200000
APP-200225,2025-05-05 23:59:40,1500000
APP-200228,2025-01-21 09:31:04,2500000
APP-200229,2025-03-29 17:17:19,300000
APP-200230,2025-03-10 08:56:47,120000
APP-200232,2025-03-16 01:56:43,800000
APP-200233,2025-02-07 18:18:14,960000
APP-200235,2025-07-05 13:17:46,400000
APP-200236,2025-04-11 02:49:26,480000
APP-200238,2025-01-22 09:03:08,300000
APP-200241,2025-05-26 06:14:53,2000000
APP-200246,2025-03-07 23:31:53,960000
APP-200247,2025-03-13 16:41:16,5000000
APP-200248,2025-01-23 10:57:20,640000
APP-200250,2025-01-27 18:49:35,1200000
APP-200252,2025-06-05 11:12:19,500000
APP-200254,2025-02-05 21:43:48,180000
APP-200255,2025-07-29 16:28:01,2500000
APP-200256,2025-02-18 11:45:43,720000
APP-200257,2025-07-07 02:22:33,4000000
APP-200259,2025-07-04 16:24:48,500000
APP-200261,2025-01-26 01:07:19,2000000
APP-200265,2025-05-28 15:18:24,300000
APP-200266,2025-02-20 03:44:28,150000
APP-200267,2025-03-02 06:11:20,500000
APP-200269,2025-01-15 08:18:22,2500000
APP-200275,2025-03-10 22:02:01,300000
APP-200277,2025-07-18 01:03:52,1200000
APP-200281,2025-01-11 12:07:15,800000
APP-200283,2025-02-15 06:30:38,960000
APP-200287,2025-06-16 08:08:34,150000
APP-200291,2025-04-25 22:21:53,2000000
APP-200293,2025-06-14 23:54:23,1500000
APP-200297,2025-02-25 06:29:02,800000
APP-200301,2025-04-30 15:22:24,1500000
APP-200303,2025-05-27 15:16:20,2000000
APP-200306,2025-02-03 02:42:15,3000000
APP-200307,2025-02-09 22:37:10,300000
APP-200310,2025-04-14 17:09:25,120000
