initiative_id,month_index,actual_cost_rub,actual_profit_rub
INI-01,0,826245,0
INI-01,1,1015964,0
INI-01,2,884608,0
INI-01,3,919400,0
INI-01,4,954300,0
INI-01,5,0,430986
INI-01,6,0,337848
INI-01,7,0,370999
INI-01,8,0,460772
INI-01,9,0,512605
INI-01,10,0,359090
INI-01,11,0,504008
INI-02,2,908357,0
INI-02,3,1086227,0
INI-02,4,908228,0
INI-02,5,985165,0
INI-02,6,1171999,0
INI-02,7,941626,0
INI-02,8,838220,0
INI-02,9,0,595945
INI-02,10,0,527662
INI-02,11,0,524799
INI-03,1,992823,0
INI-03,2,1225798,0
INI-03,3,911643,0
INI-03,4,1293342,0
INI-03,5,1005329,0
INI-03,6,1257191,0
INI-03,7,1210802,0
INI-03,8,907689,0
INI-03,9,997408,0
INI-03,10,0,527274
INI-03,11,0,601360
INI-04,4,878354,0
INI-04,5,731399,0
INI-04,6,752706,0
INI-04,7,960561,0
INI-04,8,0,372651
INI-04,9,0,312351
INI-04,10,0,345997
INI-04,11,0,414055
INI-05,3,1090262,0
INI-05,4,827883,0
INI-05,5,934377,0
INI-05,6,1153903,0
INI-05,7,792301,0
INI-05,8,951309,0
INI-05,9,1079024,0
INI-05,10,854129,0
INI-05,11,0,601403
INI-06,6,888488,0
INI-06,7,1082999,0
INI-06,8,868723,0
INI-06,9,0,336824
INI-06,10,0,439826
INI-06,11,0,303082
INI-07,0,878460,0
INI-07,1,1098921,0
INI-07,2,896391,0
INI-07,3,923852,0
INI-07,4,860506,0
INI-07,5,1179720,0
INI-07,6,944173,0
INI-07,7,925442,0
INI-07,8,928455,0
INI-07,9,881921,0
INI-07,10,1170640,0
INI-07,11,879231,0
INI-08,8,904437,0
INI-08,9,1049650,0
INI-08,10,1035238,0
INI-08,11,884099,0
INI-09,5,1370320,0
INI-09,6,1165622,0
INI-09,7,1291455,0
INI-09,8,1028291,0
INI-09,9,1070211,0
INI-09,10,1050204,0
INI-09,11,1005531,0
INI-10,9,1006380,0
INI-10,10,801655,0
INI-10,11,854406,0
