initiative_id,name,direction,start_month,cost_rub,months_to_profit,months_to_payback
INI-01,Автоплатёж по кредитной карте,Карты,0,4200000,5,14
INI-02,Предодобренный лимит в приложении,Карты,2,6800000,7,19
INI-03,Скоринг заявок на автокредит,Кредиты,1,9500000,9,24
INI-04,Электронная подпись в конвейере,Кредиты,4,3100000,4,11
INI-05,Речевая аналитика контакт-центра,Обслуживание,3,7400000,8,21
INI-06,Самообслуживание по выпискам,Обслуживание,6,2600000,3,9
INI-07,Витрина клиентских событий,Данные,0,12000000,12,30
INI-08,Единый ключ группы компаний,Данные,8,5300000,6,17
INI-09,Онбординг малого бизнеса за день,Бизнес,5,8100000,7,20
INI-10,Пакетные тарифы для МСБ,Бизнес,9,4700000,5,13
