месяц;регион;канал;новые_счета;закрытые_счета;активные_счета_на_конец_месяца;средний_остаток_тыс_руб;расходы_на_продвижение_тыс_руб;ставка_по_счёту_проц;жалобы
2024-07;Центральный;Мобильное приложение;620;110;3930;221,1;515;11,49;13
2024-07;Центральный;Отделение;558;71;3547;344,7;461;11,49;10
2024-07;Центральный;Сайт банка;249;51;1638;172,5;217;11,49;7
2024-07;Центральный;Партнёрская сеть;183;110;1153;90,8;163;11,49;18
2024-07;Северо-Западный;Мобильное приложение;381;74;2427;222,0;319;11,49;12
2024-07;Северо-Западный;Отделение;345;50;2192;339,7;286;11,49;8
2024-07;Северо-Западный;Сайт банка;167;42;1017;193,7;134;11,49;4
2024-07;Северо-Западный;Партнёрская сеть;131;68;732;88,7;101;11,49;12
2024-07;Южный;Мобильное приложение;317;54;1904;214,4;247;11,49;8
2024-07;Южный;Отделение;273;35;1706;319,1;221;11,49;6
2024-07;Южный;Сайт банка;126;27;790;170,0;104;11,49;5
2024-07;Южный;Партнёрская сеть;90;62;546;87,9;78;11,49;10
2024-07;Уральский;Мобильное приложение;360;59;2182;218,0;283;11,49;10
2024-07;Уральский;Отделение;295;40;1938;321,4;254;11,49;5
2024-07;Уральский;Сайт банка;133;31;894;166,4;119;11,49;5
2024-07;Уральский;Партнёрская сеть;120;70;644;87,9;89;11,49;13
2024-07;Сибирский;Мобильное приложение;349;54;2039;198,5;263;11,49;8
2024-07;Сибирский;Отделение;296;43;1813;339,7;235;11,49;7
2024-07;Сибирский;Сайт банка;140;35;839;191,1;111;11,49;5
2024-07;Сибирский;Партнёрская сеть;95;57;588;88,2;83;11,49;5
2024-08;Центральный;Мобильное приложение;664;122;4472;215,8;591;12,03;14
2024-08;Центральный;Отделение;677;103;4121;359,5;515;12,03;16
2024-08;Центральный;Сайт банка;273;51;1860;190,7;243;12,03;6
2024-08;Центральный;Партнёрская сеть;234;144;1243;92,8;186;12,03;23
2024-08;Северо-Западный;Мобильное приложение;460;72;2815;226,2;367;12,03;11
